koi_period,koi_duration,koi_depth,koi_prad,koi_impact,koi_model_snr,koi_teq,koi_insol,koi_steff,koi_slogg,koi_srad,koi_disposition,kepid
38.103908,3.837,961.1,4.08,0.987,20.3,456.0,10.22,5250.0,4.522,0.771,CANDIDATE,3440978
5.24242029,6.413,334.9,3.86,0.863,20.1,1367.0,825.0,5383.0,3.824,1.829,CANDIDATE,9532710
37.8034121,4.641,678.1,2.95,0.968,20.2,460.0,10.57,5329.0,4.572,0.819,CANDIDATE,9580992
131.485184,5.294,557.8,3.03,0.578,19.4,400.0,6.08,5765.0,4.236,1.242,CANDIDATE,6934986
16.2908527,3.176,44.1,0.52,0.105,14.5,622.0,35.48,5425.0,4.549,0.797,CANDIDATE,4049901
147.281212,7.375,452.8,2.28,0.474,17.3,353.0,3.69,5708.0,4.365,1.054,CANDIDATE,10798331
16.6671415,3.526,175.0,0.7,0.444,17.9,469.0,11.47,4729.0,4.726,0.525,CANDIDATE,9334893
34.135676,9.12,622.0,13.98,0.087,8.6,1526.0,1281.86,7818.0,3.365,5.555,CANDIDATE,9289704
86.130534,3.321,285.2,1.47,0.072,3.7,391.0,5.55,5830.0,4.54,0.876,CANDIDATE,8892157
8.46354384,1.4078,792.2,2.51,0.387,26.1,805.0,99.37,5427.0,4.495,0.887,CANDIDATE,11520459
191.86419296,4.9,,,,,,,,,,CANDIDATE,4247991
13.72549689,7.62,,,,,,,,,,CANDIDATE,4247991
176.331289,13.89,109.8,2.38,0.2455,8.4,505.0,15.4,6146.0,3.8,2.251,CANDIDATE,10026544
6.2141496,10.141,183.4,4.27,0.403,53.4,1506.0,1216.48,5295.0,3.617,3.152,CANDIDATE,2853780
17.65737838,3.509,2155.7,2.45,0.8277,117.2,350.0,3.55,3745.0,4.784,0.47,CANDIDATE,6185476
7.5966998,3.667,127.5,1.32,0.725,24.5,964.0,204.34,5716.0,4.343,1.091,CANDIDATE,8804455
15.40877383,3.49,,,,,,,,,,CANDIDATE,5546761
58.35512552,8.45,,,,,,,,,,CANDIDATE,8872048
