koi_period,koi_duration,koi_depth,koi_prad,koi_impact,koi_model_snr,koi_teq,koi_insol,koi_steff,koi_slogg,koi_srad,target,koi_disposition,kepid
6.54626149,2.75,655.9,2.19,0.644,24.8,810.0,101.78,5251.0,4.581,0.817,1,CONFIRMED,5792202
12.71809866,3.0957,1149.4,2.31,0.427,52.7,562.0,23.6,4702.0,4.592,0.686,1,CONFIRMED,5794379
36.06588163,4.3246,1563.8,2.64,0.26,51.7,397.0,5.88,4702.0,4.592,0.686,1,CONFIRMED,5794379
4.190425659,2.8589,2877.4,6.21,0.458,240.6,1234.0,547.9,6073.0,4.392,1.135,1,CONFIRMED,5881688
3.709870784,3.0694,2020.3,4.35,0.023,116.1,1151.0,415.1,5727.0,4.463,0.978,1,CONFIRMED,6022556
16.3297527,6.271,1187.5,3.75,0.791,74.6,727.0,66.08,5878.0,4.444,0.987,1,CONFIRMED,6032497
27.807566216,4.21587,25391.1,13.84,0.782,748.1,554.0,22.24,5862.0,4.584,0.785,1,CONFIRMED,6061119
80.8723469,11.195,3604.6,7.59,0.527,160.9,452.0,9.88,5510.0,4.222,1.238,1,CONFIRMED,6191521
3.166465862,2.9381,4357.2,26.82,1.266,122.1,954.0,196.31,4968.0,4.575,0.704,0,FALSE POSITIVE,6267425
24.99324319,5.9409,269.6,2.29,0.686,62.0,712.0,60.88,5718.0,4.181,1.317,1,CONFIRMED,3531558
10.35533116,3.1775,750.6,2.47,0.029,49.2,777.0,86.22,5501.0,4.462,0.918,1,CONFIRMED,6276477
16.08518937,3.984,1442.4,3.68,0.867,62.6,613.0,33.43,5239.0,4.523,0.826,1,CONFIRMED,6863998
7.49018305,2.7297,1123.6,2.56,0.02,53.0,753.0,76.06,5103.0,4.562,0.787,1,CONFIRMED,6948054
36.2761238,4.7865,1572.6,3.03,0.035,45.5,445.0,9.29,5103.0,4.562,0.787,1,CONFIRMED,6948054
17.46087931,2.2641,812.4,2.32,0.594,22.6,568.0,24.6,5103.0,4.562,0.787,1,CONFIRMED,6948054
56.0560754,4.685,1626.0,1.94,0.018,27.4,233.0,0.69,3593.0,4.757,0.491,1,CONFIRMED,6435936
41.408316686,5.0264,22838.9,11.38,0.377,907.8,453.0,9.93,5522.0,4.586,0.747,1,CONFIRMED,6522242
5.715425977,2.5242,908.1,2.47,0.348,59.4,850.0,123.03,5237.0,4.572,0.826,1,CONFIRMED,6587280
49.18394185,11.3364,1646.2,8.2,0.035,355.7,669.0,47.4,5626.0,3.907,2.057,1,CONFIRMED,9471974
20.0261412,1.611,421.2,2.28,0.957,10.7,559.0,23.14,5237.0,4.572,0.826,1,CONFIRMED,6587280
10.44331991,2.743,1159.8,2.66,0.23,51.7,667.0,46.94,4947.0,4.516,0.802,0,FALSE POSITIVE,6675056
2.237489571,1.8119,315.8,1.41,0.128,30.7,1160.0,427.17,5265.0,4.58,0.81,1,CONFIRMED,6685526
5.851520671,3.11058,33003.6,14.62,0.211,1630.4,901.0,155.89,5532.0,4.53,0.806,0,FALSE POSITIVE,6756669
3.167893418,2.1814,781.2,2.62,0.026,64.8,1221.0,526.23,5895.0,4.503,0.94,1,CONFIRMED,6784235
4.311780262,2.7251,1154.0,3.11,0.196,86.1,1038.0,274.84,5527.0,4.484,0.927,1,CONFIRMED,6849310
20.0504494,4.556,840.9,2.69,0.383,37.8,622.0,35.44,5527.0,4.484,0.927,1,CONFIRMED,6849310
9.76734503,1.6585,569.1,2.67,0.9,21.1,791.0,92.46,5527.0,4.484,0.927,1,CONFIRMED,6849310
190.3200468,15.284,1141.7,7.78,0.812,139.3,426.0,7.8,5626.0,3.907,2.057,1,CONFIRMED,9471974
2.861159894,1.8832,1014.3,4.37,0.965,58.3,1355.0,797.1,6126.0,4.458,1.021,0,FALSE POSITIVE,6862603
26.44439337,3.9783,1843.5,3.91,0.03,88.0,562.0,23.54,5427.0,4.463,0.929,1,CONFIRMED,7366258
51.53997972,6.3994,3644.3,5.51,0.183,155.5,450.0,9.67,5427.0,4.463,0.929,1,CONFIRMED,7366258
5.902245782,2.9003,702.3,2.43,0.209,59.3,926.0,173.74,5427.0,4.463,0.929,1,CONFIRMED,7366258
2.382951591,1.8876,391.6,1.86,0.479,41.4,1253.0,583.01,5427.0,4.463,0.929,1,CONFIRMED,7366258
21.02250608,4.1072,1772.5,3.07,0.036,62.4,521.0,17.48,5067.0,4.585,0.75,1,CONFIRMED,7373451
3.219814777,2.0642,488.2,1.69,0.06,30.5,998.0,234.93,5103.0,4.562,0.787,1,CONFIRMED,6948054
5.912273234,2.3254,961.4,1.73,0.17,62.8,585.0,27.72,4072.0,4.696,0.57,1,CONFIRMED,6949607
8.98581901,2.8606,881.3,1.65,0.008,51.8,509.0,15.9,4072.0,4.696,0.57,1,CONFIRMED,6949607
20.5452375,2.517,218.5,2.41,0.95,18.5,742.0,71.57,5670.0,4.206,1.264,0,FALSE POSITIVE,11869052
33.60123371,4.4056,7425.9,8.46,0.67,247.9,495.0,14.22,5149.0,4.447,0.93,1,CONFIRMED,7109675
6.76652928,2.9004,450.7,1.97,0.429,29.2,845.0,120.48,5149.0,4.447,0.93,1,CONFIRMED,7109675
4.347288783,2.1024,451.6,2.36,0.025,39.7,1174.0,449.79,5754.0,4.345,1.122,1,CONFIRMED,7118364
4.601811819,2.2607,755.9,2.35,0.567,60.8,896.0,152.91,4986.0,4.496,0.833,1,CONFIRMED,7134976
11.18719905,3.252,353.6,1.55,0.387,21.9,667.0,46.65,4986.0,4.496,0.833,1,CONFIRMED,7134976
